Course Name,Course Title,First Name,Last Name,Term,InvitedCount,RespondentCount,%ResponseRatio,"Excluding class sessions, estimate the average number of hours per week spent in preparation or review. - Mean","Overall, did the instructor convey the course material clearly? - Mean","Overall, did the instructor convey the course material in an interesting way? - Mean","Did you take away useful tools, concepts, and/or insights from this course? - Mean",How much did you get out of this course? - Mean,Would you recommend this course to other students? - Mean
30000-03,Financial Accounting,Valeri,Nikolaev,Winter 2016,45,25,55.56,21.04,4.64,4.28,4.84,4.64,4.6
30000-03,Financial Accounting,Anastasia,Zakolyukina,Winter 2017,56,45,80.36,5.53,4.67,4.18,4.29,4.24,4.13
30000-04,Financial Accounting,Jonathan,Bonham,Autumn 2018,64,69,107.81,4.99,3.83,3.88,3.99,3.81,3.99
30000-04,Financial Accounting,Pingyang,Gao,Autumn 2017,59,50,84.75,10.08,2.9,2.9,3.66,3.26,2.92
30000-04,Financial Accounting,Mark,Maffett,Autumn 2016,64,50,78.13,13.46,4.32,4.34,4.18,4.06,4.34
30000-05,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2017,19,12,63.16,5.58,4.75,4.75,4.75,4.58,4.92
30000-05,Financial Accounting,John,Barrios,Autumn 2016,62,52,83.87,3.63,3.31,3.27,3.75,3.4,3.37
30000-05,Financial Accounting,Valeri,Nikolaev,Autumn 2018,62,53,85.48,3.66,4.49,4.4,4.6,4.36,4.64
30000-06,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2017,34,17,50,10.12,4.65,4.71,4.76,4.59,4.88
30000-06,Financial Accounting,John,Barrios,Autumn 2016,60,38,63.33,12,3.97,3.82,4.11,3.95,3.97
30000-06,Financial Accounting,Valeri,Nikolaev,Autumn 2018,65,54,83.08,5.8,4.24,4.28,4.57,4.28,4.35
30000-07,Financial Accounting,John,Barrios,Autumn 2016,56,42,75,7,3.52,3.29,3.86,3.55,3.5
30000-07,Financial Accounting,Valeri,Nikolaev,Autumn 2017,65,47,72.31,7.23,4.36,4,4.36,4.15,4.23
30000-08,Financial Accounting,Pingyang,Gao,Autumn 2016,62,59,95.16,8.69,3.75,3.66,4.14,4,3.9
30000-08,Financial Accounting,Valeri,Nikolaev,Autumn 2017,60,29,48.33,10.34,4.48,3.93,4.62,4.34,4.34
30000-09,Financial Accounting,Pingyang,Gao,Autumn 2016,62,40,64.52,9.63,4.3,4.08,4.38,4,4.23
30000-81,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Winter 2017,60,58,96.67,9.79,4.1,4.26,4.19,4.21,4.24
30000-81,Financial Accounting,Raymond,Ball,Spring 2016,63,61,96.83,6.64,4.25,4.15,4.12,3.98,4.19
30000-81,Financial Accounting,Raymond,Ball,Spring 2017,64,53,82.81,2.92,4.32,3.85,4.11,3.89,4.11
30000-81,Financial Accounting,John,Barrios,Winter 2016,56,50,89.29,5.58,3.82,3.9,4.06,3.82,3.94
30000-81,Financial Accounting,John,Barrios,Winter 2018,62,40,64.52,9.05,3.6,3.7,3.7,3.45,3.33
30000-81,Financial Accounting,Jonathan,Bonham,Autumn 2018,62,46,74.19,5.15,4.2,3.98,4.26,4.04,4.09
30000-81,Financial Accounting,Pingyang,Gao,Autumn 2016,41,32,78.05,7.97,4.31,4.25,4.44,4.25,4.22
30000-81,Financial Accounting,Pingyang,Gao,Winter 2019,50,41,82,18.98,4.44,4.34,4.54,4.44,4.46
30000-81,Financial Accounting,J Douglas,Hanna,Summer 2016,47,46,97.87,15.93,4.41,4.43,4.28,4.07,4.33
30000-81,Financial Accounting,J Douglas,Hanna,Summer 2018,52,41,78.85,7.37,4.51,4.41,4.39,4.33,4.37
30000-81,Financial Accounting,J Douglas,Hanna,Summer 2019,57,41,71.93,4.85,4.24,4.05,4.22,4.07,4.15
30000-81,Financial Accounting,Anya,Kleymenova,Autumn 2017,54,45,83.33,9.91,4.36,4.33,4.51,4.38,4.31
30000-81,Financial Accounting,Anya,Kleymenova,Spring 2019,44,33,75,8.3,4.55,4.3,4.39,4.42,4.39
30000-81,Financial Accounting,Rimmy,Tomy,Summer 2017,46,42,91.3,11.31,4.4,4.07,4.48,4.26,4.1
30000-81,Financial Accounting,Anastasia,Zakolyukina,Spring 2018,34,29,85.29,22.69,4.55,4.59,4.83,4.66,4.72
30000-82,Financial Accounting,Mark,Maffett,Autumn 2016,65,60,92.31,7.97,4.47,4.38,4.28,4.17,4.43
30000-82,Financial Accounting,Valeri,Nikolaev,Autumn 2017,61,52,85.25,7.96,4.37,4.23,4.5,4.21,4.38
30000-82,Financial Accounting,Valeri,Nikolaev,Spring 2017,26,18,69.23,10.5,4.61,4.33,4.72,4.5,4.5
30000-82,Financial Accounting,Valeri,Nikolaev,Winter 2016,33,30,90.91,9.33,4.43,4.07,4.6,4.4,4.57
30000-82,Financial Accounting,Rimmy,Tomy,Spring 2018,65,61,93.85,7.41,3.84,3.51,3.97,3.72,3.61
30000-83,Financial Accounting,Valeri,Nikolaev,Autumn 2018,58,51,87.93,15.82,4.43,4.22,4.53,4.45,4.61
30000-83,Financial Accounting,Thomas,Rauter,Spring 2019,61,54,88.52,4.61,4.69,4.76,4.65,4.5,4.72
30000-83,Financial Accounting,Rimmy,Tomy,Spring 2018,65,53,81.54,8.58,4.28,3.92,4.38,4.23,4.26
30000-85,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2018,54,53,98.15,5.68,4.64,4.81,4.66,4.49,4.77
30000-85,Financial Accounting,Jonathan,Bonham,Winter 2018,37,36,97.3,12.83,4.19,4.22,4.39,4.17,4.17
30000-85,Financial Accounting,Pingyang,Gao,Autumn 2017,39,34,87.18,11.41,3.79,3.88,4.15,4.06,3.76
30000-85,Financial Accounting,Pingyang,Gao,Winter 2019,27,16,59.26,16.69,4.56,4.69,4.5,4.38,4.44
30000-85,Financial Accounting,J Douglas,Hanna,Summer 2016,33,25,75.76,12.56,4.32,4.16,4.36,4.08,4.08
30000-85,Financial Accounting,J Douglas,Hanna,Summer 2018,31,32,103.23,20.44,4.16,4,4.09,3.91,3.84
30000-85,Financial Accounting,J Douglas,Hanna,Summer 2019,20,22,110,19.55,4.45,4.23,4.5,4.32,4.27
30000-85,Financial Accounting,Anya,Kleymenova,Autumn 2016,49,44,89.8,7.27,4.2,4.09,4.55,4.3,4.41
30000-85,Financial Accounting,Anya,Kleymenova,Spring 2019,26,26,100,10.38,4.62,4.46,4.46,4.42,4.54
30000-85,Financial Accounting,Valeri,Nikolaev,Spring 2017,28,27,96.43,9.19,4.56,4.33,4.81,4.59,4.63
30000-85,Financial Accounting,Rimmy,Tomy,Summer 2017,42,38,90.48,12.11,3.97,3.84,4.32,4.16,4.03
30000-85,Financial Accounting,Anastasia,Zakolyukina,Spring 2016,56,48,85.71,15.52,4.29,4.27,4.63,4.52,4.65
30000-85,Financial Accounting,Anastasia,Zakolyukina,Spring 2018,57,53,92.98,10.89,4.3,4.49,4.57,4.38,4.47
30000-85,Financial Accounting,Anastasia,Zakolyukina,Winter 2017,41,27,65.85,5.81,4.37,4.15,4.48,4.33,4.52
30000-86,Financial Accounting,Joao Pedro,Bacelar Fernandes Granja,Autumn 2017,64,68,106.25,7.9,4.62,4.62,4.57,4.53,4.74
30000-86,Financial Accounting,Pingyang,Gao,Winter 2019,46,22,47.83,14.27,4.82,4.59,4.68,4.59,4.68
30000-86,Financial Accounting,Wendy,Heltzer,Autumn 2016,30,28,93.33,8.43,4.11,3.79,4.04,3.86,3.93
30000-86,Financial Accounting,Anya,Kleymenova,Spring 2019,38,26,68.42,13.12,4.58,4.19,4.42,4.35,4.35
30000-86,Financial Accounting,Anastasia,Zakolyukina,Autumn 2018,34,33,97.06,5.48,4.24,4.18,4.55,4.39,4.45
30001 01,Cost Analysis and Internal Controls,John,Gallemore,Winter 2020,70,64,91.43,4.97,4.7,4.67,4.7,4.47,4.66
30001 01,Cost Analysis and Internal Controls,John,Gallemore,Winter 2021,70,42,60,5.21,4.64,4.5,4.64,4.38,4.52
30001 01,Cost Analysis and Internal Controls,Christopher,Stewart,Spring 2021,64,38,59.38,4.84,4.37,4.21,4.39,4.08,4.18
30001 01,Cost Analysis and Internal Controls,Matthias,Mahlendorf,Winter 2022,65,29,44.62,2.24,4.03,3.69,3.55,3.21,3.41
30001 02,Cost Analysis and Internal Controls,John,Gallemore,Winter 2020,70,61,87.14,5.31,4.87,4.87,4.82,4.7,4.89
30001 81,Cost Analysis and Internal Controls,John,Gallemore,Winter 2020,68,63,92.65,5.73,4.62,4.75,4.67,4.49,4.6
30001 81,Cost Analysis and Internal Controls,John,Gallemore,Winter 2021,70,48,68.57,5.06,4.6,4.67,4.67,4.42,4.56
30001 81,Cost Analysis and Internal Controls,Eva,Labro,Summer 2021,59,41,69.49,3.51,4.71,4.66,4.54,4.27,4.44
30001 81,Cost Analysis and Internal Controls,Christopher,Stewart,Spring 2021,22,13,59.09,6,4.85,4.77,4.69,4.38,4.69
30001 81,Cost Analysis and Internal Controls,Matthias,Mahlendorf,Winter 2022,61,30,49.18,3,4.3,4.1,4,3.53,3.7
30001 82,Cost Analysis and Internal Controls,Eva,Labro,Summer 2021,63,35,55.56,3.37,4.77,4.54,4.63,4.26,4.49
30001 85,Cost Analysis and Internal Controls,John,Gallemore,Winter 2021,64,44,68.75,5.75,4.5,4.59,4.5,4.41,4.48
30001-01,Cost Analysis and Internal Controls,John,Gallemore,Spring 2016,41,26,63.41,5.15,4.46,4.19,4.35,4.12,4.23
30001-01,Cost Analysis and Internal Controls,John,Gallemore,Winter 2017,37,30,81.08,5.03,4.73,4.7,4.77,4.6,4.7
30001-01,Cost Analysis and Internal Controls,John,Gallemore,Winter 2018,70,64,91.43,4.92,4.63,4.53,4.45,4.23,4.39
30001-01,Cost Analysis and Internal Controls,John,Gallemore,Winter 2019,70,47,67.14,7.47,4.66,4.72,4.7,4.68,4.72
30001-01,Cost Analysis and Internal Controls,Joseph,Gerakos,Winter 2016,56,46,82.14,8.11,4.33,3.85,4.17,4.02,3.93
30001-01,Cost Analysis and Internal Controls,Eva,Labro,Spring 2017,65,47,72.31,4.43,4.79,4.66,4.26,4.04,4.19
30001-02,Cost Analysis and Internal Controls,John,Gallemore,Winter 2017,54,39,72.22,8.26,4.64,4.69,4.62,4.41,4.59
30001-02,Cost Analysis and Internal Controls,John,Gallemore,Winter 2018,70,55,78.57,5,4.76,4.73,4.69,4.53,4.75
30001-02,Cost Analysis and Internal Controls,Joseph,Gerakos,Winter 2016,62,59,95.16,7.41,4.25,3.41,4.05,3.76,3.75
30001-81,Cost Analysis and Internal Controls,John,Gallemore,Spring 2016,28,26,92.86,6.46,4.58,4.69,4.77,4.42,4.77
30001-81,Cost Analysis and Internal Controls,John,Gallemore,Winter 2017,59,63,106.78,7.51,4.73,4.71,4.54,4.37,4.63
30001-81,Cost Analysis and Internal Controls,John,Gallemore,Winter 2018,69,61,88.41,10.25,4.54,4.66,4.51,4.38,4.61
30001-81,Cost Analysis and Internal Controls,John,Gallemore,Winter 2019,70,54,77.14,5.63,4.89,4.81,4.72,4.72,4.85
30001-81,Cost Analysis and Internal Controls,Joseph,Gerakos,Winter 2016,48,39,81.25,8.03,4.38,4,4.1,3.95,4.08
30001-81,Cost Analysis and Internal Controls,J Douglas,Hanna,Summer 2017,24,24,100,5.5,4.29,3.58,4.21,3.92,3.71
30001-81,Cost Analysis and Internal Controls,Eva,Labro,Spring 2017,63,57,90.48,2.7,4.86,4.79,4.54,4.26,4.65
30001-85,Cost Analysis and Internal Controls,John,Gallemore,Spring 2016,28,24,85.71,11.25,4.63,4.5,4.46,4.42,4.5
30001-85,Cost Analysis and Internal Controls,John,Gallemore,Winter 2019,69,46,66.67,5.67,4.76,4.89,4.8,4.65,4.8
30001-85,Cost Analysis and Internal Controls,J Douglas,Hanna,Summer 2017,28,24,85.71,5,4.71,4,4.33,4.08,4.21
30116 01,Accounting & Fin Analysis,Christensen, Hans,Autumn 2019,11,9,81.8,4.9,4.7,4.6,4.4,4.3,4.2
30116 01,Accounting and Financial Analysis,Hans,Christensen,Autumn 2020,37,20,54.05,4,4.65,4.5,4.65,4.25,4.65
30116 01,Accounting and Financial Analysis,Hans,Christensen,Autumn 2021,45,28,62.22,3.21,4,3.5,3.86,3.46,3.5
30116 01,Accounting and Financial Analysis,Leonard C,Soffer,Winter 2020,37,16,43.24,3.94,4.13,4.25,4.31,4.19,4.13
30116 01,Accounting and Financial Analysis,Leonard C,Soffer,Winter 2021,38,20,52.63,5.6,4.4,4.25,4.55,4.4,4.2
30116 02,Accounting & Fin Analysis,Christensen, Hans,Autumn 2019,18,17,94.4,4.2,4.9,4.5,4.8,4.7,4.8
30116 02,Accounting and Financial Analysis,Hans,Christensen,Autumn 2020,31,20,64.52,3.85,4.55,4.55,4.7,4.35,4.35
30116 02,Accounting and Financial Analysis,Hans,Christensen,Autumn 2021,34,25,73.53,4.56,4.28,3.84,4,3.8,3.8
30116 81,Accounting & Fin Analysis,Christensen, Hans,Autumn 2019,6,5,83.3,2.8,4.6,4.4,4.2,4.6,4.6
30116 81,Accounting and Financial Analysis,Hans,Christensen,Autumn 2020,23,16,69.57,4.06,4.5,4.5,4.5,4.25,4.38
30116 81,Accounting and Financial Analysis,Hans,Christensen,Autumn 2021,38,18,47.37,4.28,4.33,3.83,4.44,4.11,4.11
30116 81,Accounting and Financial Analysis,Leonard C,Soffer,Winter 2020,11,5,45.45,4.6,4.2,4.4,4.4,4.2,4
30116 85,Accounting and Financial Analysis,Leonard C,Soffer,Winter 2020,15,11,73.33,5.91,4.55,4.36,4.73,4.45,4.55
30116-01,Accounting and Financial Analysis I,Philip,Berger,Spring 2016,33,31,93.94,17.84,4.48,4.32,4.52,4.45,4.61
30116-01,Accounting and Financial Analysis I,Hans,Christensen,Spring 2018,18,15,83.33,4.8,4.47,3.73,4.27,4.13,3.93
30116-01,Accounting and Financial Analysis I,Hans,Christensen,Spring 2019,16,15,93.75,4,4.87,4.6,4.67,4.47,4.6
30116-01,Accounting and Financial Analysis I,Leonard C,Soffer,Autumn 2016,36,24,66.67,8.54,4.67,4.58,4.88,4.67,4.67
30116-01,Accounting and Financial Analysis I,Leonard C,Soffer,Autumn 2017,55,47,85.45,10.83,4.6,4.7,4.7,4.49,4.62
30116-01,Accounting and Financial Analysis I,Leonard C,Soffer,Autumn 2018,55,31,56.36,11.39,4.61,4.39,4.35,4.23,4.29
30116-01,Accounting and Financial Analysis I,Leonard C,Soffer,Winter 2016,33,30,90.91,11.4,4.3,3.9,4.3,4.2,4.27
30116-01,Accounting and Financial Analysis I,Leonard C,Soffer,Winter 2017,60,52,86.67,5.23,4.5,4.4,4.52,4.4,4.38
30116-01,Accounting and Financial Analysis I,Leonard C,Soffer,Winter 2018,60,45,75,13.11,4.53,4.58,4.4,4.42,4.49
30116-01,Accounting and Financial Analysis I,Leonard C,Soffer,Winter 2019,60,48,80,11.48,4.67,4.65,4.38,4.25,4.43
30116-02,Accounting and Financial Analysis I,Hans,Christensen,Spring 2018,17,12,70.59,12.58,4.08,3.75,3.92,3.58,4.08
30116-02,Accounting and Financial Analysis I,Hans,Christensen,Spring 2019,15,14,93.33,4.07,4.71,4.64,4.79,4.43,4.64
30116-02,Accounting and Financial Analysis I,Leonard C,Soffer,Winter 2018,15,14,93.33,24.43,4.64,4.64,4.71,4.36,4.5
30116-81,Accounting and Financial Analysis I,Philip,Berger,Spring 2016,20,17,85,5.71,4.24,4.18,4.35,4.35,4.18
30116-81,Accounting and Financial Analysis I,Hans,Christensen,Spring 2018,15,18,120,4.83,4.67,4,4.44,4.22,4.28
30116-81,Accounting and Financial Analysis I,Hans,Christensen,Spring 2019,6,6,100,4.67,4.67,4.83,4.83,4.67,4.83
30116-81,Accounting and Financial Analysis I,Leonard C,Soffer,Autumn 2016,19,17,89.47,5.65,4.82,4.76,4.53,4.59,4.53
30116-81,Accounting and Financial Analysis I,Leonard C,Soffer,Autumn 2017,31,25,80.65,5.48,4.6,4.52,4.8,4.6,4.6
30116-81,Accounting and Financial Analysis I,Leonard C,Soffer,Autumn 2018,23,21,91.3,9.05,4.57,4.71,4.48,4.29,4.29
30116-81,Accounting and Financial Analysis I,Leonard C,Soffer,Winter 2016,24,21,87.5,10.05,4.76,4.52,4.67,4.57,4.57
30116-81,Accounting and Financial Analysis I,Leonard C,Soffer,Winter 2017,33,26,78.79,10,4.46,4.42,4.54,4.35,4.38
30116-81,Accounting and Financial Analysis I,Leonard C,Soffer,Winter 2019,18,17,94.44,10.82,4.88,4.88,4.76,4.41,4.59
30116-85,Accounting and Financial Analysis I,Leonard C,Soffer,Autumn 2016,23,28,121.74,8.43,4.5,4.25,4.29,4.18,4.29
30116-85,Accounting and Financial Analysis I,Leonard C,Soffer,Autumn 2018,13,18,138.46,15.61,4.44,4.39,4.44,4.39,4.44
30116-85,Accounting and Financial Analysis I,Leonard C,Soffer,Winter 2018,21,17,80.95,16.94,4.65,4.65,4.59,4.59,4.59
30117-01,Accounting and Financial Analysis II,Kathleen,Fitzgerald,Spring 2017,61,48,78.69,11.73,3.77,3.81,4.27,4.08,3.94
30117-85,Accounting and Financial Analysis II,Kathleen,Fitzgerald,Spring 2017,50,35,70,11.26,4.31,4.26,4.37,4.11,4.17
30118 01,Taxes and Business Strategy,Erickson, Merle,Autumn 2019,19,15,79.9,4.5,4.9,4.6,4.9,4.8,4.8
30118 01,Taxes and Business Strategy,Merle,Erickson,Autumn 2020,60,30,50,3.47,4.4,3.93,4.67,4.33,4.27
