Course,Title,Quarter,Year,Day and Time,Instructor,Total Enrollment after  Phase 1,Seats Available after Phase 1,Phase 1 Price,Total Enrollment after  Phase 2,Seats Available after Phase 2,Phase 2 Price,Total Enrollment after  Phase 1 New Students,Seats Available after Phase 1 New Students,Phase 1 New Students Price,Total Enrollment after  Phase 2 New Students,Seats Available after Phase 2 New Students,Phase 2 New Students Price,Total Enrollment after  Phase 3,Seats Available after Phase 3,Phase 3 Price,Total Enrollment after  Phase 4,Seats Available after Phase 4,Phase 4 Price
30130-81,Financial Statement Analysis,Spring,2022,"Friday, 6:00 -  9:00","Hand, John",59,6,0,56,9,0,56,9,N/A,56,9,N/A,54,11,0,,,
30600-60,Workshop in Accounting Research,Spring,2022,"Thursday, 1:20 -  2:50","Granja, Joao; Samuels, Delphine",4,61,0,5,60,0,5,60,N/A,5,60,N/A,6,59,0,,,
30902-50,Empirical Research in Accounting,Spring,2022,"Tuesday, 8:30 - 11:30","Christensen, Hans; Costello, Anna; Minnis, Michael; Skinner, Douglas",5,14,0,7,12,0,7,12,N/A,7,12,N/A,7,12,N/A,,,
31402-01,Leadership Practicum,Spring,2022,"Wednesday, 8:30 - 11:30","Paris, Celia",28,12,0,40,CLO,1446,40,CLO,N/A,40,CLO,N/A,40,CLO,6679,,,
31403-01,Leadership Studio,Spring,2022,"Monday, 1:30 -  4:30","Davis, Harry; Tennant, Nancy",30,CLO,2989,30,CLO,4011,30,CLO,N/A,30,CLO,N/A,30,CLO,8850,,,
31403-81,Leadership Studio,Spring,2022,"Monday, 6:00 -  9:00","Davis, Harry; Tennant, Nancy",23,7,0,22,8,0,23,7,0,23,7,N/A,30,CLO,78,,,
31420-01,The Power of Personal Branding and Storytelling in the Digital Age ⑤,Spring,2022,"Tuesday, 8:30 - 11:30","Ajayi Jones, Luvvie",65,CLO,1500,65,CLO,8784,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
32100-01,Data Analysis with R and Python,Spring,2022,"Thursday, 8:30 - 11:30","Lu, Haihao",35,CLO,12,35,CLO,2011,35,CLO,N/A,35,CLO,N/A,35,CLO,N/A,,,
32100-81,Data Analysis with R and Python,Spring,2022,"Thursday, 6:00 -  9:00","Lu, Haihao",13,22,0,14,21,0,14,21,N/A,14,21,N/A,19,16,0,,,
32105-01,Intro to Databases for Business Analytics ⑤,Spring,2022,"Wednesday, 8:30 - 11:30","Wang, Xikuan",35,CLO,401,35,CLO,7302,35,CLO,N/A,35,CLO,N/A,35,CLO,12700,,,
32105-02,Intro to Databases for Business Analytics ⑤,Spring,2022,"Wednesday, 1:30 -  4:30","Wang, Xikuan",33,2,0,35,CLO,176,35,CLO,N/A,35,CLO,N/A,35,CLO,N/A,,,
33001-01,Microeconomics,Spring,2022,"Wednesday, 8:30 - 11:30","Rappoport, Daniel",16,49,0,16,49,0,16,49,N/A,16,49,N/A,16,49,0,,,
33001-81,Microeconomics,Spring,2022,"Wednesday, 6:00 -  9:00","Rappoport, Daniel",14,51,0,13,52,N/A,18,47,0,17,48,N/A,15,50,N/A,,,
33001-85,Microeconomics,Spring,2022,"Saturday, 1:30 -  4:30","Rappoport, Daniel",9,56,0,7,58,N/A,13,52,0,14,51,0,15,50,0,,,
33032-01,Managing the Workplace,Spring,2022,"Friday, 8:30 - 11:30","Prendergast, Canice",31,34,0,44,21,0,44,21,N/A,44,21,N/A,44,21,0,,,
33032-81,Managing the Workplace,Spring,2022,"Thursday, 6:00 -  9:00","Prendergast, Canice",60,5,0,50,15,0,51,14,0,51,14,N/A,63,2,0,,,
33032-85,Managing the Workplace,Spring,2022,"Saturday, 9:00 - 12:00","Prendergast, Canice",70,CLO,2000,70,CLO,7126,70,CLO,N/A,70,CLO,N/A,70,CLO,8045,,,
33040-01,Macroeconomics,Spring,2022,"Thursday, 1:30 -  4:30","Patterson, Christina",32,33,0,42,23,0,42,23,N/A,42,23,N/A,46,19,0,,,
33040-85,Macroeconomics,Spring,2022,"Saturday, 1:30 -  4:30","Patterson, Christina",31,34,0,31,34,0,33,32,0,33,32,N/A,31,34,0,,,
33222-81,Sports Analytics,Spring,2022,"Tuesday, 6:00 -  9:00","Huizinga, John; Murphy, Kevin",27,3,0,26,4,0,26,4,N/A,26,4,N/A,26,4,0,,,
33250-01,Perspectives on Capitalism,Spring,2022,"Wednesday, 6:00 -  7:30","Gertner, Robert",119,1,N/A,118,2,N/A,118,2,N/A,118,2,N/A,118,2,N/A,,,
33251-01,Perspectives on Capitalism Seminar,Spring,2022,"Wednesday,10:00 - 11:30","Gertner, Robert",11,1,N/A,11,1,N/A,11,1,N/A,11,1,N/A,11,1,N/A,,,
33251-02,Perspectives on Capitalism Seminar,Spring,2022,"Wednesday,10:00 - 11:30","Wheat, Chris",12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,,,
33251-03,Perspectives on Capitalism Seminar,Spring,2022,"Wednesday, 4:00 -  5:30","Rollert, John",12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,,,
33251-04,Perspectives on Capitalism Seminar,Spring,2022,"Wednesday, 4:00 -  5:30","Wheat, Chris",12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,,,
33251-05,Perspectives on Capitalism Seminar,Spring,2022,"Thursday,10:00 - 11:30","Barry, Brian",12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,,,
33251-06,Perspectives on Capitalism Seminar,Spring,2022,"Thursday, 1:30 -  3:00","Barry, Brian",12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,,,
33251-07,Perspectives on Capitalism Seminar,Spring,2022,"Thursday, 1:30 -  3:00","Grossman, Caroline",12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,,,
33251-81,Perspectives on Capitalism Seminar,Spring,2022,"Wednesday, 7:45 -  9:15","Grossman, Caroline",12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,,,
33251-82,Perspectives on Capitalism Seminar,Spring,2022,"Wednesday, 7:45 -  9:15","Rollert, John",12,CLO,N/A,11,1,N/A,11,1,N/A,11,1,N/A,11,1,N/A,,,
33251-85,Perspectives on Capitalism Seminar,Spring,2022,"Saturday, 1:30 -  3:30","Gertner, Robert",12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,12,CLO,N/A,,,
33305-01,The Firm and the Non-Market Environment,Spring,2022,"Thursday, 1:30 -  4:30","Bertrand, Marianne",70,CLO,14741,70,CLO,17197,70,CLO,N/A,70,CLO,N/A,70,CLO,17129,,,
33305-81,The Firm and the Non-Market Environment,Spring,2022,"Thursday, 6:00 -  9:00","Bertrand, Marianne",70,CLO,1110,63,7,0,65,5,0,65,5,N/A,70,CLO,12345,,,
33305-85,The Firm and the Non-Market Environment,Spring,2022,"Saturday, 9:00 - 12:00","Bertrand, Marianne",70,CLO,1274,70,CLO,1235,70,CLO,N/A,70,CLO,N/A,70,CLO,17999,,,
33314-01,Big Problems,Spring,2022,"Tuesday, 1:30 -  4:30","Murphy, Kevin; Topel, Robert",15,CLO,4453,15,CLO,18000,15,CLO,N/A,15,CLO,N/A,15,CLO,10567,,,
33401-01,Money and Banking,Spring,2022,"Wednesday, 1:30 -  4:30","Kroszner, Randall",70,CLO,6006,70,CLO,13283,70,CLO,N/A,70,CLO,N/A,70,CLO,15017,,,
33401-81,Money and Banking,Spring,2022,"Wednesday, 6:00 -  9:00","Kroszner, Randall",43,27,0,51,19,0,51,19,N/A,51,19,N/A,70,CLO,4112,,,
33403-01,Advanced Macroeconomics,Spring,2022,"Monday, 8:30 - 11:30","Kashyap, Anil",24,41,0,31,34,0,31,34,N/A,31,34,N/A,27,38,0,,,
33403-81,Advanced Macroeconomics,Spring,2022,"Monday, 6:00 -  9:00","Kashyap, Anil",3,62,0,3,62,N/A,3,62,N/A,3,62,N/A,7,58,0,,,
33451-81,Real Estate Investments II,Spring,2022,"Thursday, 6:00 -  9:00","Pagliari, Joseph",23,42,0,25,40,0,25,40,N/A,25,40,N/A,25,40,0,,,
33502-01,International Financial Policy,Spring,2022,"Thursday, 8:30 - 11:30","Kekre, Rohan",29,36,0,38,27,0,38,27,N/A,38,27,N/A,44,21,0,,,
33502-02,International Financial Policy,Spring,2022,"Thursday, 1:30 -  4:30","Kekre, Rohan",38,27,0,61,4,0,61,4,N/A,61,4,N/A,61,4,0,,,
33610-60,Applied Economics Workshop,Spring,2022,"Wednesday, 1:20 -  2:50","Frankel, Alexander; Mountjoy, Jack",3,37,0,4,36,0,4,36,N/A,4,36,N/A,4,36,N/A,,,
33630-60,Workshop: Money and Banking,Spring,2022,"Wednesday, 3:30 -  5:00","Dingel, Jonathan; Kashyap, Anil",1,64,0,1,64,N/A,1,64,N/A,1,64,N/A,1,64,N/A,,,
33650-60,Workshop in Macro and International Economics,Spring,2022,"Monday,11:45 -  1:15","Patterson, Christina",1,64,0,1,64,N/A,1,64,N/A,1,64,N/A,1,64,N/A,,,
33701-01,Energy Policy Practicum,Spring,2022,"Monday, 1:30 -  4:30","Topel, Robert",14,10,2001,14,10,17247,14,10,N/A,14,10,N/A,14,10,N/A,,,
33905-50,Microeconomics Reading and Research Seminar ⑤,Spring,2022,"Wednesday, 4:45 -  6:15","Budish, Eric; Notowidigdo, Matthew",0,19,N/A,1,18,0,1,18,N/A,1,18,N/A,1,18,N/A,,,
33918-50,Topics in Labor Economics,Spring,2022,"Monday, 9:00 - 12:00","Mountjoy, Jack; Notowidigdo, Matthew; Sarsons, Heather",1,64,0,1,64,N/A,1,64,N/A,1,64,N/A,3,62,N/A,,,
33923-50,Advanced Industrial Organization III,Spring,2022,"Tuesday, 1:30 -  4:30","Carlton, Dennis",6,13,0,7,12,0,7,12,N/A,7,12,N/A,6,13,N/A,,,
34101-01,Entrepreneurial Finance and Private Equity,Spring,2022,"Monday, 1:30 -  4:30","Zwick, Eric",44,21,0,50,15,0,50,15,N/A,50,15,N/A,48,17,0,,,
34101-81,Entrepreneurial Finance and Private Equity,Spring,2022,"Monday, 6:00 -  9:00","Zwick, Eric",14,51,0,13,52,0,13,52,N/A,13,52,N/A,15,50,0,,,
34102-01,New Venture Strategy,Spring,2022,"Wednesday, 8:30 - 11:30","Bunch, Gregory",65,CLO,2127,65,CLO,14627,65,CLO,N/A,65,CLO,N/A,65,CLO,10186,,,
34102-81,New Venture Strategy,Spring,2022,"Tuesday, 6:00 -  9:00","Schrager, James",49,16,0,47,18,0,47,18,N/A,47,18,N/A,65,CLO,6037,,,
34106-01,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Spring,2022,"Friday, 8:30 - 11:30","Meadow, Scott",55,CLO,5000,55,CLO,8287,55,CLO,N/A,55,CLO,N/A,55,CLO,17315,,,
34106-85,Commercializing Innovation: Tools to Research and Analyze Private Enterprises,Spring,2022,"Saturday, 9:00 - 12:00","Meadow, Scott",55,CLO,4000,55,CLO,2000,55,CLO,N/A,55,CLO,N/A,55,CLO,10000,,,
34108-01,Innovation Leadership,Spring,2022,"Tuesday, 1:30 -  4:30","Lyman, Lindsey",40,CLO,1011,40,CLO,5455,40,CLO,N/A,40,CLO,N/A,40,CLO,8123,,,
34111-01,Entrepreneurial Selling,Spring,2022,"Tuesday, 1:30 -  4:30","Alter, Michael",31,34,0,43,22,0,43,22,N/A,43,22,N/A,43,22,0,,,
34206-01,"Women As CEOs, Entrepreneurs, Investors, Executives & Directors",Spring,2022,"Thursday, 1:30 -  4:30","Rapp, Alyssa",65,CLO,3200,65,CLO,888,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
35000-01,Investments,Spring,2022,"Friday, 8:30 - 11:30","Bogousslavsky, Vincent",25,40,0,27,38,0,27,38,N/A,27,38,N/A,25,40,0,,,
35000-02,Investments,Spring,2022,"Friday, 1:30 -  4:30","Bogousslavsky, Vincent",32,33,0,37,28,0,37,28,N/A,37,28,N/A,42,23,0,,,
35000-85,Investments,Spring,2022,"Saturday, 1:30 -  4:30","Bogousslavsky, Vincent",28,37,0,25,40,0,25,40,N/A,25,40,N/A,25,40,0,,,
35001-81,Introductory Finance,Spring,2022,"Thursday, 6:00 -  9:00","Bhattacharya, Ayan",16,49,0,14,51,0,14,51,N/A,14,51,N/A,27,38,0,,,
35101-81,"Futures, Forwards, Options & Swaps: Theory and Practice",Spring,2022,"Tuesday, 6:00 -  9:00","Belton, Terrence",15,23,0,16,22,0,16,22,N/A,16,22,N/A,18,20,0,,,
35120-01,Portfolio Management,Spring,2022,"Friday, 1:30 -  4:30","Pastor, Lubos",47,18,0,57,8,0,57,8,N/A,57,8,N/A,54,11,0,,,
35120-81,Portfolio Management,Spring,2022,"Friday, 6:00 -  9:00","Pastor, Lubos",41,24,0,37,28,N/A,37,28,N/A,37,28,N/A,35,30,0,,,
35120-85,Portfolio Management,Spring,2022,"Saturday, 9:00 - 12:00","Pastor, Lubos",16,49,0,17,48,0,17,48,N/A,17,48,N/A,14,51,0,,,
35121-01,Behavioral Finance,Spring,2022,"Wednesday, 1:30 -  4:30","Hartzmark, Samuel",30,35,0,40,25,0,40,25,N/A,40,25,N/A,39,26,0,,,
35121-81,Behavioral Finance,Spring,2022,"Wednesday, 6:00 -  9:00","Hartzmark, Samuel",26,39,0,27,38,0,27,38,N/A,27,38,N/A,33,32,0,,,
35130-81,Fixed Income Asset Pricing,Spring,2022,"Monday, 6:00 -  9:00","Heaton, John",20,45,0,20,45,N/A,20,45,N/A,20,45,N/A,20,45,0,,,
35200-01,Corporation Finance,Spring,2022,"Monday, 1:30 -  4:30","Darmouni, Olivier",65,CLO,41,65,CLO,9002,65,CLO,N/A,65,CLO,N/A,65,CLO,2000,,,
35200-02,Corporation Finance,Spring,2022,"Tuesday, 8:30 - 11:30","Darmouni, Olivier",65,CLO,2088,65,CLO,5010,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
35200-81,Corporation Finance,Spring,2022,"Monday, 6:00 -  9:00","Darmouni, Olivier",22,43,0,23,42,0,23,42,N/A,23,42,N/A,58,7,0,,,
35201-81,Cases in Financial Management,Spring,2022,"Wednesday, 6:00 -  9:00","Mitchell, Mark",22,43,0,21,44,0,21,44,N/A,21,44,N/A,42,23,0,,,
35202-01,Financial Markets and Institutions,Spring,2022,"Monday, 1:30 -  4:30","Diamond, Douglas",27,38,0,29,36,0,29,36,N/A,29,36,N/A,30,35,0,,,
35202-81,Financial Markets and Institutions,Spring,2022,"Tuesday, 6:00 -  9:00","Diamond, Douglas",8,57,0,8,57,N/A,8,57,N/A,8,57,N/A,13,52,0,,,
35600-60,Seminar: Finance,Spring,2022,"Tuesday, 1:20 -  2:50","Nelson, Scott; Vandeweyer, Quentin",6,59,0,6,59,N/A,6,59,N/A,6,59,N/A,7,58,0,,,
35601-60,Applied Theory Workshop,Spring,2022,"Tuesday, 3:30 -  5:00","Staff, Staff",0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,0,65,N/A,,,
35901-50,Portfolio Choice and Asset Pricing,Spring,2022,"Monday, 8:30 - 11:30","Nagel, Stefan",2,63,0,3,62,0,3,62,N/A,3,62,N/A,4,61,0,,,
35906-50,Behavioral Finance,Spring,2022,"Thursday, 8:00 - 11:00","Hartzmark, Samuel",1,19,0,3,17,0,3,17,N/A,3,17,N/A,4,16,0,,,
35913-50,Advanced Theory of Corporate Finance and Capital Markets,Spring,2022,"Monday, 1:30 -  4:30","He, Zhiguo",4,18,0,5,17,0,5,17,N/A,5,17,N/A,6,16,0,,,
35916-50,New Developments in Public Finance,Spring,2022,"Thursday, 9:00 - 12:00","Ganong, Peter; Noel, Pascal; Zwick, Eric",2,38,0,2,38,N/A,2,38,N/A,2,38,N/A,2,38,N/A,,,
35932-50,Research Seminar,Spring,2022,"Tuesday, 9:00 - 10:30","He, Zhiguo; Koijen, Ralph; Zwick, Eric",1,19,0,2,18,0,2,18,N/A,2,18,N/A,2,18,N/A,,,
36106-01,Managerial Decision Modeling,Spring,2022,"Wednesday, 1:30 -  4:30","Gupta, Varun",45,CLO,2000,45,CLO,3001,45,CLO,N/A,45,CLO,N/A,45,CLO,100,,,
36106-02,Managerial Decision Modeling,Spring,2022,"Thursday, 8:30 - 11:30","Gupta, Varun",39,6,0,45,CLO,1379,45,CLO,N/A,45,CLO,N/A,43,2,N/A,,,
36106-81,Managerial Decision Modeling,Spring,2022,"Thursday, 6:00 -  9:00","Gupta, Varun",19,26,0,19,26,0,20,25,0,20,25,N/A,30,15,0,,,
36109-01,Advanced Decision Models with Python,Spring,2022,"Wednesday, 1:30 -  4:30","Eisenstein, Donald",30,CLO,3099,30,CLO,5701,30,CLO,N/A,30,CLO,N/A,29,1,N/A,,,
36109-02,Advanced Decision Models with Python,Spring,2022,"Thursday, 1:30 -  4:30","Eisenstein, Donald",25,5,0,30,CLO,497,30,CLO,N/A,30,CLO,N/A,30,CLO,N/A,,,
36109-81,Advanced Decision Models with Python,Spring,2022,"Friday, 6:00 -  9:00","Eisenstein, Donald",29,1,0,30,CLO,1,30,CLO,N/A,30,CLO,N/A,30,CLO,22222,,,
36110-01,Application Development,Spring,2022,"Thursday, 1:30 -  4:30","Betina, Raghu",30,CLO,4333,30,CLO,4000,30,CLO,N/A,30,CLO,N/A,30,CLO,6000,,,
36110-02,Application Development,Spring,2022,"Friday, 8:30 - 11:30","Betina, Raghu",25,5,0,24,6,0,24,6,N/A,24,6,N/A,22,8,0,,,
36111-01,Application Development II,Spring,2022,"Tuesday, 1:30 -  4:30","Betina, Raghu",23,7,0,23,7,0,23,7,N/A,23,7,N/A,24,6,0,,,
36600-60,Workshop in Operations/Management Science,Spring,2022,"Tuesday,12:10 -  1:20","Lu, Haihao; Zhong, Yuan",8,32,0,8,32,N/A,8,32,N/A,8,32,N/A,8,32,N/A,,,
36902-50,Dynamic Programming/Markov Decision Processes,Spring,2022,"Friday, 8:30 - 11:30","Caldentey, Rene",5,17,0,4,18,N/A,4,18,N/A,4,18,N/A,4,18,N/A,,,
36905-50,Approximate Dynamic Programming,Spring,2022,"Wednesday, 8:30 - 11:30","Adelman, Dan",8,12,0,8,12,N/A,8,12,N/A,8,12,N/A,8,12,N/A,,,
36918-50,Stochastic Calculus and Queueing Applications ⑤,Spring,2022,"Wednesday, 1:30 -  4:30","Ward, Amy",7,13,0,8,12,0,8,12,N/A,8,12,N/A,8,12,0,,,
36921-50,Online Optimization - Applications in Operations Mgmt 2,Spring,2022,"Friday, 1:30 -  4:30","Gupta, Varun; Niazadeh, Rad",5,17,0,5,17,N/A,5,17,N/A,5,17,N/A,5,17,N/A,,,
37000-01,Marketing Strategy,Spring,2022,"Monday, 8:30 - 11:30","Shapiro, Bradley",49,16,0,54,11,0,54,11,N/A,54,11,N/A,50,15,0,,,
37000-02,Marketing Strategy,Spring,2022,"Monday, 1:30 -  4:30","Shapiro, Bradley",59,6,0,65,CLO,553,65,CLO,N/A,65,CLO,N/A,63,2,0,,,
37000-81,Marketing Strategy,Spring,2022,"Monday, 6:00 -  9:00","Shapiro, Bradley",42,23,0,35,30,0,46,19,0,45,20,0,45,20,0,,,
37000-85,Marketing Strategy,Spring,2022,"Saturday, 9:00 - 12:00","Krohn, Christopher",33,32,0,41,24,0,49,16,0,48,17,0,50,15,0,,,
37103-01,Data-Driven Marketing,Spring,2022,"Wednesday, 1:30 -  4:30","Hitsch, Guenter",70,CLO,5006,70,CLO,20631,70,CLO,N/A,70,CLO,N/A,70,CLO,1241,,,
37103-81,Data-Driven Marketing,Spring,2022,"Wednesday, 6:00 -  9:00","Hitsch, Guenter",32,33,0,29,36,0,29,36,N/A,29,36,N/A,42,23,0,,,
37103-85,Data-Driven Marketing,Spring,2022,"Saturday, 1:30 -  4:30","Hitsch, Guenter",48,17,0,44,21,0,44,21,N/A,44,21,N/A,58,7,0,,,
37202-01,Pricing Strategies,Spring,2022,"Wednesday, 1:30 -  4:30","Dubé, Jean-Pierre",70,CLO,6072,70,CLO,10834,70,CLO,N/A,70,CLO,N/A,70,CLO,13006,,,
37202-02,Pricing Strategies,Spring,2022,"Thursday, 1:30 -  4:30","Dubé, Jean-Pierre",70,CLO,5,70,CLO,7381,70,CLO,N/A,70,CLO,N/A,70,CLO,14812,,,
37202-81,Pricing Strategies,Spring,2022,"Thursday, 6:00 -  9:00","Dubé, Jean-Pierre",70,CLO,5009,70,CLO,4221,70,CLO,N/A,70,CLO,N/A,70,CLO,9160,,,
37209-81,Brand Management in a Digital Age,Spring,2022,"Thursday, 6:00 -  9:00","Hafen, Tom",65,CLO,10,65,CLO,100,65,CLO,N/A,65,CLO,N/A,65,CLO,1158,,,
37601-60,Marketing Workshop,Spring,2022,"Tuesday,10:40 - 12:00","Staff, Staff",6,34,0,6,34,N/A,6,34,N/A,6,34,N/A,7,33,0,,,
37903-50,Adv Mktg Theory: Behavioral Science Approach,Spring,2022,"Wednesday, 9:00 - 12:00","Sussman, Abigail",2,38,0,2,38,N/A,2,38,N/A,2,38,N/A,2,38,N/A,,,
37906-50,Applied Bayesian Econometrics,Spring,2022,"Monday, 1:30 -  4:30","Misra, Sanjog",5,17,0,5,17,N/A,5,17,N/A,5,17,N/A,6,16,0,,,
37907-50,Behavioral Science Research Methods in Marketing,Spring,2022,"Thursday, 9:00 - 12:00","Urminsky, Oleg",2,17,0,3,16,0,3,16,N/A,3,16,N/A,3,16,N/A,,,
38001-01,Managing in Organizations,Spring,2022,"Tuesday, 8:30 - 11:30","Fishbach, Ayelet",70,CLO,4000,70,CLO,6211,70,CLO,N/A,70,CLO,N/A,70,CLO,9146,,,
38001-02,Managing in Organizations,Spring,2022,"Wednesday, 1:30 -  4:30","Fishbach, Ayelet",70,CLO,4352,70,CLO,5267,70,CLO,N/A,70,CLO,N/A,70,CLO,31137,,,
38001-81,Managing in Organizations,Spring,2022,"Wednesday, 6:00 -  9:00","Fishbach, Ayelet",70,CLO,321,69,1,0,70,CLO,1,70,CLO,N/A,70,CLO,7000,,,
38002-01,Managerial Decision Making,Spring,2022,"Wednesday, 8:30 - 11:30","Shah, Anuj",65,CLO,4190,65,CLO,12738,64,1,N/A,64,1,N/A,65,CLO,19723,,,
38002-02,Managerial Decision Making,Spring,2022,"Thursday, 8:30 - 11:30","Shah, Anuj",65,CLO,3500,65,CLO,6898,65,CLO,N/A,65,CLO,N/A,65,CLO,N/A,,,
38002-81,Managerial Decision Making,Spring,2022,"Thursday, 6:00 -  9:00","Shah, Anuj",65,CLO,209,65,CLO,28,65,CLO,N/A,65,CLO,N/A,65,CLO,5000,,,
38003-81,Power and Influence in Organizations,Spring,2022,"Thursday, 6:00 -  9:00","Nussbaum, A.",56,9,0,59,6,0,61,4,0,62,3,0,54,11,0,,,
38003-85,Power and Influence in Organizations,Spring,2022,"Saturday, 1:30 -  4:30","Nussbaum, A.",65,CLO,1213,65,CLO,5000,65,CLO,N/A,65,CLO,N/A,65,CLO,19000,,,
38102-81,Persuasion II: Influence Through Narrative ⑤,Spring,2022,"Wednesday, 6:00 -  9:00","Weitzman, Hal",19,17,0,20,16,0,20,16,N/A,20,16,N/A,18,18,N/A,,,
38103-01,Strategies and Processes of Negotiation,Spring,2022,"Tuesday, 8:30 - 11:30","Koch, Alex",55,CLO,1349,55,CLO,7599,55,CLO,N/A,55,CLO,N/A,55,CLO,N/A,,,
38103-02,Strategies and Processes of Negotiation,Spring,2022,"Tuesday, 1:30 -  4:30","Koch, Alex",55,CLO,3511,55,CLO,10143,55,CLO,N/A,55,CLO,N/A,55,CLO,14393,,,
38103-81,Strategies and Processes of Negotiation,Spring,2022,"Wednesday, 6:00 -  9:00","Zinchenko, Elena",55,CLO,1,50,5,0,51,4,0,50,5,N/A,55,CLO,5000,,,
38103-85,Strategies and Processes of Negotiation,Spring,2022,"Saturday, 1:30 -  4:30","Zinchenko, Elena",55,CLO,2223,55,CLO,2500,55,CLO,N/A,55,CLO,N/A,55,CLO,12921,,,
38105-01,Advanced Negotiations,Spring,2022,"Thursday, 8:30 - 11:30","Wu, George",40,CLO,2504,40,CLO,16370,40,CLO,N/A,40,CLO,N/A,40,CLO,N/A,,,
38105-02,Advanced Negotiations,Spring,2022,"Thursday, 1:30 -  4:30","Wu, George",40,CLO,1388,40,CLO,7000,40,CLO,N/A,40,CLO,N/A,40,CLO,2105,,,
